tauTau TT
Pi  /eos/home-v/vdamante/HH_bbtautau_resonant_Run2/sync/TTTo2L2Nu_tauTau_Pisa_2.root  Events
Ciemat  /eos/user/e/emartinv/cmt/Sync/test/TTTo2L2Nu_CIEMAT_tautau.root  Events
# Pi events = 52782, # Pi unique events = 52782
# Ciemat events = 53378, # Ciemat unique events = 53378
# common events = 52101
Pi events
run:lumi:evt:sampleId = 1:42785:42784458
run:lumi:evt:sampleId = 1:42850:42849949
run:lumi:evt:sampleId = 1:43326:43325679
run:lumi:evt:sampleId = 1:43680:43679847
run:lumi:evt:sampleId = 1:43858:43857655
run:lumi:evt:sampleId = 1:43869:43868118
run:lumi:evt:sampleId = 1:44536:44535891
run:lumi:evt:sampleId = 1:44995:44994172
run:lumi:evt:sampleId = 1:45118:45117308
run:lumi:evt:sampleId = 1:45209:45208322
run:lumi:evt:sampleId = 1:45612:45611025
run:lumi:evt:sampleId = 1:46357:46356035
run:lumi:evt:sampleId = 1:47536:47535287
run:lumi:evt:sampleId = 1:47764:47763289
run:lumi:evt:sampleId = 1:47945:47944467
run:lumi:evt:sampleId = 1:48443:48442037
run:lumi:evt:sampleId = 1:48475:48474571
run:lumi:evt:sampleId = 1:48528:48527421
run:lumi:evt:sampleId = 1:48601:48600269
run:lumi:evt:sampleId = 1:48665:48664290
run:lumi:evt:sampleId = 1:48720:48719873
run:lumi:evt:sampleId = 1:48985:48984555
run:lumi:evt:sampleId = 1:49012:49011406
run:lumi:evt:sampleId = 1:49072:49071723
run:lumi:evt:sampleId = 1:49719:49718356
run:lumi:evt:sampleId = 1:49925:49924378
run:lumi:evt:sampleId = 1:50404:50403257
run:lumi:evt:sampleId = 1:50558:50557264
run:lumi:evt:sampleId = 1:50729:50728155
run:lumi:evt:sampleId = 1:50982:50981199
run:lumi:evt:sampleId = 1:50986:50985040
run:lumi:evt:sampleId = 1:51285:51284222
run:lumi:evt:sampleId = 1:51586:51585667
run:lumi:evt:sampleId = 1:51678:51677562
run:lumi:evt:sampleId = 1:52492:52491746
run:lumi:evt:sampleId = 1:52538:52537315
run:lumi:evt:sampleId = 1:52770:52769671
run:lumi:evt:sampleId = 1:53024:53023164
run:lumi:evt:sampleId = 1:53195:53194656
run:lumi:evt:sampleId = 1:53648:53647782
run:lumi:evt:sampleId = 1:53679:53678421
run:lumi:evt:sampleId = 1:53864:53863869
run:lumi:evt:sampleId = 1:54026:54025320
run:lumi:evt:sampleId = 1:54131:54130429
run:lumi:evt:sampleId = 1:54204:54203523
run:lumi:evt:sampleId = 1:54324:54323671
run:lumi:evt:sampleId = 1:54757:54756473
run:lumi:evt:sampleId = 1:55084:55083238
run:lumi:evt:sampleId = 1:55103:55102204
run:lumi:evt:sampleId = 1:55140:55139390
run:lumi:evt:sampleId = 1:55496:55495291
run:lumi:evt:sampleId = 1:55598:55597139
run:lumi:evt:sampleId = 1:55635:55634905
run:lumi:evt:sampleId = 1:55687:55686650
run:lumi:evt:sampleId = 1:56441:56440822
run:lumi:evt:sampleId = 1:56444:56443813
run:lumi:evt:sampleId = 1:56825:56824565
run:lumi:evt:sampleId = 1:56968:56967054
run:lumi:evt:sampleId = 1:57079:57078939
run:lumi:evt:sampleId = 1:57083:57082304
run:lumi:evt:sampleId = 1:57284:57283814
run:lumi:evt:sampleId = 1:57664:57663148
run:lumi:evt:sampleId = 1:58058:58057912
run:lumi:evt:sampleId = 1:58104:58103318
run:lumi:evt:sampleId = 1:58161:58160777
run:lumi:evt:sampleId = 1:58245:58244421
run:lumi:evt:sampleId = 1:58710:58709063
run:lumi:evt:sampleId = 1:59365:59364114
run:lumi:evt:sampleId = 1:59531:59530200
run:lumi:evt:sampleId = 1:59707:59706894
run:lumi:evt:sampleId = 1:60055:60054161
run:lumi:evt:sampleId = 1:60115:60114287
run:lumi:evt:sampleId = 1:60227:60226397
run:lumi:evt:sampleId = 1:60914:60913658
run:lumi:evt:sampleId = 1:60935:60934068
run:lumi:evt:sampleId = 1:61231:61230727
run:lumi:evt:sampleId = 1:61387:61386207
run:lumi:evt:sampleId = 1:61634:61633675
run:lumi:evt:sampleId = 1:61645:61644698
run:lumi:evt:sampleId = 1:61926:61925731
run:lumi:evt:sampleId = 1:62065:62064998
run:lumi:evt:sampleId = 1:62227:62226418
run:lumi:evt:sampleId = 1:62238:62237722
run:lumi:evt:sampleId = 1:62409:62408418
run:lumi:evt:sampleId = 1:62436:62435959
run:lumi:evt:sampleId = 1:62517:62516251
run:lumi:evt:sampleId = 1:62965:62964764
run:lumi:evt:sampleId = 1:63052:63051840
run:lumi:evt:sampleId = 1:63940:63939055
run:lumi:evt:sampleId = 1:64048:64047796
run:lumi:evt:sampleId = 1:64266:64265755
run:lumi:evt:sampleId = 1:64477:64476301
run:lumi:evt:sampleId = 1:64763:64762411
run:lumi:evt:sampleId = 1:64777:64776206
run:lumi:evt:sampleId = 1:64827:64826979
run:lumi:evt:sampleId = 1:65136:65135257
run:lumi:evt:sampleId = 1:65190:65189970
run:lumi:evt:sampleId = 1:65325:65324772
run:lumi:evt:sampleId = 1:65913:65912898
run:lumi:evt:sampleId = 1:66237:66236466
run:lumi:evt:sampleId = 1:66608:66607817
run:lumi:evt:sampleId = 1:66888:66887199
run:lumi:evt:sampleId = 1:67401:67400004
run:lumi:evt:sampleId = 1:67470:67469049
run:lumi:evt:sampleId = 1:67576:67575926
run:lumi:evt:sampleId = 1:67808:67807713
run:lumi:evt:sampleId = 1:67847:67846684
run:lumi:evt:sampleId = 1:67848:67847019
run:lumi:evt:sampleId = 1:67870:67869779
run:lumi:evt:sampleId = 1:67946:67945842
run:lumi:evt:sampleId = 1:68027:68026941
run:lumi:evt:sampleId = 1:68037:68036891
run:lumi:evt:sampleId = 1:68289:68288097
run:lumi:evt:sampleId = 1:68596:68595235
run:lumi:evt:sampleId = 1:68721:68720697
run:lumi:evt:sampleId = 1:68762:68761542
run:lumi:evt:sampleId = 1:68844:68843763
run:lumi:evt:sampleId = 1:68911:68910927
run:lumi:evt:sampleId = 1:68924:68923716
run:lumi:evt:sampleId = 1:69057:69056563
run:lumi:evt:sampleId = 1:69245:69244289
run:lumi:evt:sampleId = 1:69429:69428368
run:lumi:evt:sampleId = 1:69908:69907391
run:lumi:evt:sampleId = 1:70126:70125676
run:lumi:evt:sampleId = 1:70240:70239669
run:lumi:evt:sampleId = 1:70253:70252778
run:lumi:evt:sampleId = 1:70424:70423759
run:lumi:evt:sampleId = 1:70901:70900681
run:lumi:evt:sampleId = 1:71207:71206059
run:lumi:evt:sampleId = 1:71432:71431220
run:lumi:evt:sampleId = 1:71546:71545877
run:lumi:evt:sampleId = 1:71692:71691414
run:lumi:evt:sampleId = 1:71850:71849976
run:lumi:evt:sampleId = 1:72321:72320511
run:lumi:evt:sampleId = 1:72681:72680839
run:lumi:evt:sampleId = 1:72823:72822792
run:lumi:evt:sampleId = 1:72879:72878605
run:lumi:evt:sampleId = 1:72950:72949924
run:lumi:evt:sampleId = 1:73058:73057553
run:lumi:evt:sampleId = 1:73154:73153759
run:lumi:evt:sampleId = 1:73949:73948885
run:lumi:evt:sampleId = 1:73953:73952340
run:lumi:evt:sampleId = 1:73969:73968376
run:lumi:evt:sampleId = 1:74273:74272197
run:lumi:evt:sampleId = 1:74527:74526810
run:lumi:evt:sampleId = 1:75040:75039440
run:lumi:evt:sampleId = 1:75453:75452363
run:lumi:evt:sampleId = 1:75653:75652492
run:lumi:evt:sampleId = 1:75686:75685377
run:lumi:evt:sampleId = 1:75817:75816999
run:lumi:evt:sampleId = 1:76076:76075681
run:lumi:evt:sampleId = 1:76105:76104293
run:lumi:evt:sampleId = 1:76554:76553323
run:lumi:evt:sampleId = 1:76612:76611758
run:lumi:evt:sampleId = 1:76690:76689128
run:lumi:evt:sampleId = 1:76742:76741028
run:lumi:evt:sampleId = 1:76784:76783662
run:lumi:evt:sampleId = 1:76926:76925262
run:lumi:evt:sampleId = 1:77298:77297158
run:lumi:evt:sampleId = 1:77330:77329094
run:lumi:evt:sampleId = 1:77499:77498440
run:lumi:evt:sampleId = 1:77558:77557935
run:lumi:evt:sampleId = 1:77985:77984847
run:lumi:evt:sampleId = 1:78366:78365542
run:lumi:evt:sampleId = 1:78398:78397844
run:lumi:evt:sampleId = 1:78462:78461795
run:lumi:evt:sampleId = 1:78630:78629074
run:lumi:evt:sampleId = 1:79078:79077391
run:lumi:evt:sampleId = 1:79103:79102559
run:lumi:evt:sampleId = 1:79471:79470827
run:lumi:evt:sampleId = 1:79600:79599339
run:lumi:evt:sampleId = 1:79737:79736040
run:lumi:evt:sampleId = 1:79748:79747266
run:lumi:evt:sampleId = 1:79798:79797857
run:lumi:evt:sampleId = 1:80762:80761689
run:lumi:evt:sampleId = 1:81033:81032887
run:lumi:evt:sampleId = 1:81096:81095603
run:lumi:evt:sampleId = 1:81367:81366531
run:lumi:evt:sampleId = 1:81388:81387381
run:lumi:evt:sampleId = 1:81560:81559604
run:lumi:evt:sampleId = 1:82011:82010639
run:lumi:evt:sampleId = 1:82019:82018506
run:lumi:evt:sampleId = 1:82044:82043346
run:lumi:evt:sampleId = 1:82119:82118545
run:lumi:evt:sampleId = 1:82650:82649511
run:lumi:evt:sampleId = 1:82717:82716448
run:lumi:evt:sampleId = 1:82740:82739406
run:lumi:evt:sampleId = 1:82829:82828298
run:lumi:evt:sampleId = 1:83326:83325481
run:lumi:evt:sampleId = 1:83495:83494654
run:lumi:evt:sampleId = 1:83526:83525779
run:lumi:evt:sampleId = 1:83602:83601251
run:lumi:evt:sampleId = 1:83780:83779218
run:lumi:evt:sampleId = 1:83926:83925903
run:lumi:evt:sampleId = 1:84029:84028079
run:lumi:evt:sampleId = 1:84500:84499535
run:lumi:evt:sampleId = 1:84580:84579081
run:lumi:evt:sampleId = 1:84983:84982396
run:lumi:evt:sampleId = 1:85002:85001425
run:lumi:evt:sampleId = 1:85363:85362150
run:lumi:evt:sampleId = 1:85419:85418795
run:lumi:evt:sampleId = 1:85508:85507794
run:lumi:evt:sampleId = 1:85544:85543612
run:lumi:evt:sampleId = 1:85584:85583179
run:lumi:evt:sampleId = 1:85672:85671216
run:lumi:evt:sampleId = 1:85692:85691285
run:lumi:evt:sampleId = 1:85791:85790754
run:lumi:evt:sampleId = 1:86412:86411986
run:lumi:evt:sampleId = 1:86416:86415878
run:lumi:evt:sampleId = 1:86548:86547835
run:lumi:evt:sampleId = 1:86789:86788820
run:lumi:evt:sampleId = 1:87183:87182636
run:lumi:evt:sampleId = 1:87301:87300081
run:lumi:evt:sampleId = 1:87390:87389137
run:lumi:evt:sampleId = 1:87688:87687624
run:lumi:evt:sampleId = 1:88032:88031666
run:lumi:evt:sampleId = 1:88168:88167525
run:lumi:evt:sampleId = 1:88592:88591050
run:lumi:evt:sampleId = 1:88696:88695930
run:lumi:evt:sampleId = 1:89216:89215155
run:lumi:evt:sampleId = 1:89537:89536037
run:lumi:evt:sampleId = 1:89861:89860721
run:lumi:evt:sampleId = 1:90003:90002021
run:lumi:evt:sampleId = 1:90140:90139839
run:lumi:evt:sampleId = 1:90218:90217703
run:lumi:evt:sampleId = 1:90244:90243501
run:lumi:evt:sampleId = 1:90531:90530242
run:lumi:evt:sampleId = 1:90826:90825329
run:lumi:evt:sampleId = 1:91002:91001251
run:lumi:evt:sampleId = 1:91188:91187815
run:lumi:evt:sampleId = 1:91446:91445503
run:lumi:evt:sampleId = 1:91510:91509647
run:lumi:evt:sampleId = 1:91918:91917660
run:lumi:evt:sampleId = 1:92553:92552085
run:lumi:evt:sampleId = 1:92959:92958236
run:lumi:evt:sampleId = 1:93161:93160126
run:lumi:evt:sampleId = 1:93355:93354681
run:lumi:evt:sampleId = 1:93547:93546149
run:lumi:evt:sampleId = 1:93733:93732042
run:lumi:evt:sampleId = 1:94116:94115345
run:lumi:evt:sampleId = 1:94274:94273521
run:lumi:evt:sampleId = 1:94437:94436895
run:lumi:evt:sampleId = 1:94704:94703295
run:lumi:evt:sampleId = 1:94827:94826559
run:lumi:evt:sampleId = 1:94873:94872493
run:lumi:evt:sampleId = 1:95156:95155342
run:lumi:evt:sampleId = 1:95339:95338882
run:lumi:evt:sampleId = 1:95382:95381899
run:lumi:evt:sampleId = 1:95434:95433700
run:lumi:evt:sampleId = 1:96100:96099005
run:lumi:evt:sampleId = 1:96154:96153463
run:lumi:evt:sampleId = 1:96306:96305760
run:lumi:evt:sampleId = 1:96760:96759807
run:lumi:evt:sampleId = 1:97252:97251737
run:lumi:evt:sampleId = 1:97266:97265339
run:lumi:evt:sampleId = 1:97298:97297402
run:lumi:evt:sampleId = 1:97765:97764226
run:lumi:evt:sampleId = 1:97794:97793630
run:lumi:evt:sampleId = 1:97877:97876876
run:lumi:evt:sampleId = 1:98131:98130128
run:lumi:evt:sampleId = 1:98146:98145037
run:lumi:evt:sampleId = 1:98332:98331344
run:lumi:evt:sampleId = 1:98423:98422070
run:lumi:evt:sampleId = 1:98676:98675154
run:lumi:evt:sampleId = 1:98858:98857828
run:lumi:evt:sampleId = 1:98894:98893938
