tauTau TT
LLR  /eos/home-v/vdamante/HH_bbtautau_resonant_Run2/sync/TTTo2L2Nu_tauTau_LLR.root  HTauTauTree
Ciemat  /eos/user/e/emartinv/cmt/Sync/TTTo2L2Nu_CIEMAT_tautau.root  Events
# LLR events = 48662, # LLR unique events = 48662
# Ciemat events = 53378, # Ciemat unique events = 53378
# common events = 48307
LLR events
run:lumi:evt:sampleId = 1:112261:112260102
run:lumi:evt:sampleId = 1:112482:112481359
run:lumi:evt:sampleId = 1:112852:112851955
run:lumi:evt:sampleId = 1:113614:113613684
run:lumi:evt:sampleId = 1:113976:113975681
run:lumi:evt:sampleId = 1:114088:114087256
run:lumi:evt:sampleId = 1:114683:114682797
run:lumi:evt:sampleId = 1:116617:116616337
run:lumi:evt:sampleId = 1:117676:117675860
run:lumi:evt:sampleId = 1:117992:117991997
run:lumi:evt:sampleId = 1:118254:118253719
run:lumi:evt:sampleId = 1:119271:119270920
run:lumi:evt:sampleId = 1:119942:119941703
run:lumi:evt:sampleId = 1:119944:119943739
run:lumi:evt:sampleId = 1:119953:119952508
run:lumi:evt:sampleId = 1:119998:119997369
run:lumi:evt:sampleId = 1:120079:120078660
run:lumi:evt:sampleId = 1:120094:120093306
run:lumi:evt:sampleId = 1:121369:121368694
run:lumi:evt:sampleId = 1:122337:122336934
run:lumi:evt:sampleId = 1:122637:122636297
run:lumi:evt:sampleId = 1:122692:122691088
run:lumi:evt:sampleId = 1:122960:122959497
run:lumi:evt:sampleId = 1:123188:123187607
run:lumi:evt:sampleId = 1:123202:123201717
run:lumi:evt:sampleId = 1:123215:123214148
run:lumi:evt:sampleId = 1:123388:123387441
run:lumi:evt:sampleId = 1:123779:123778412
run:lumi:evt:sampleId = 1:123825:123824225
run:lumi:evt:sampleId = 1:124332:124331818
run:lumi:evt:sampleId = 1:125369:125368776
run:lumi:evt:sampleId = 1:125402:125401479
run:lumi:evt:sampleId = 1:125843:125842055
run:lumi:evt:sampleId = 1:126587:126586163
run:lumi:evt:sampleId = 1:127517:127516965
run:lumi:evt:sampleId = 1:128165:128164435
run:lumi:evt:sampleId = 1:128401:128400871
run:lumi:evt:sampleId = 1:128467:128466924
run:lumi:evt:sampleId = 1:129009:129008725
run:lumi:evt:sampleId = 1:129270:129269273
run:lumi:evt:sampleId = 1:129312:129311652
run:lumi:evt:sampleId = 1:130046:130045981
